datetime,device_cpu_rate%,user%,system%,idle%,package,pid,pid_cpu%
2023-05-23 15-18-56,197,109,88,203,com.divo.phone,,
2023-05-23 15-19-01,129,61,68,271,com.divo.phone,,
2023-05-23 15-19-06,161,90,71,239,com.divo.phone,,
2023-05-23 15-19-11,190,100,90,210,com.divo.phone,,
2023-05-23 15-19-16,119,45,74,281,com.divo.phone,,
2023-05-23 15-19-21,142,81,61,258,com.divo.phone,,
2023-05-23 15-19-26,142,84,58,255,com.divo.phone,,
2023-05-23 15-19-31,165,106,59,234,com.divo.phone,,
2023-05-23 15-19-36,129,58,71,271,com.divo.phone,,
2023-05-23 15-19-41,215,130,85,182,com.divo.phone,,
2023-05-23 15-19-46,263,127,136,133,com.divo.phone,11554,45.4
2023-05-23 15-19-51,272,150,122,125,com.divo.phone,11554,21.8
2023-05-23 15-19-56,179,94,85,203,com.divo.phone,11554,32.3
2023-05-23 15-20-01,131,59,72,269,com.divo.phone,11554,12.5
2023-05-23 15-20-06,202,117,85,188,com.divo.phone,11554,9.7
2023-05-23 15-20-11,188,112,76,209,com.divo.phone,11554,24.2
2023-05-23 15-20-16,146,76,70,255,com.divo.phone,11554,21.2
2023-05-23 15-20-21,186,112,74,185,com.divo.phone,11554,26.4
2023-05-23 15-20-26,167,79,88,233,com.divo.phone,11554,30.3
