datetime,activity window,fps,jank
2023-05-23 15-18-56,com.antutu.ABenchMark/com.example.benchmark.ui.device.activity.DeviceInfoActivity,0,0
2023-05-23 15-19-01,com.antutu.ABenchMark/com.example.benchmark.ui.device.activity.DeviceInfoActivity,0,0
2023-05-23 15-19-06,com.antutu.ABenchMark/com.example.benchmark.ui.device.activity.DeviceInfoActivity,0,0
2023-05-23 15-19-11,com.antutu.ABenchMark/com.example.benchmark.ui.device.activity.DeviceInfoActivity,0,0
2023-05-23 15-19-16,com.antutu.ABenchMark/com.example.benchmark.ui.device.activity.DeviceInfoActivity,0,0
2023-05-23 15-19-21,com.antutu.ABenchMark/com.example.benchmark.ui.device.activity.DeviceInfoActivity,0,0
2023-05-23 15-19-26,com.antutu.ABenchMark/com.example.benchmark.ui.device.activity.DeviceInfoActivity,0,0
2023-05-23 15-19-31,com.antutu.ABenchMark/com.example.benchmark.ui.device.activity.DeviceInfoActivity,0,0
2023-05-23 15-19-36,com.antutu.ABenchMark/com.example.benchmark.ui.device.activity.DeviceInfoActivity,0,0
2023-05-23 15-19-41,com.antutu.ABenchMark/com.example.benchmark.ui.home.activity.MainActivity,0,0
2023-05-23 15-19-47,com.divo.phone/com.divo.phone.MainActivity,6,1
2023-05-23 15-19-52,com.divo.phone/com.divo.phone.MainActivity,7,5
2023-05-23 15-19-57,com.divo.phone/com.divo.phone.MainActivity,9,6
2023-05-23 15-20-02,com.divo.phone/com.divo.phone.MainActivity,1,3
2023-05-23 15-20-07,com.divo.phone/com.divo.phone.MainActivity,7,4
2023-05-23 15-20-12,com.divo.phone/com.divo.phone.MainActivity,3,5
2023-05-23 15-20-17,com.divo.phone/com.divo.phone.MainActivity,4,7
2023-05-23 15-20-22,com.divo.phone/com.divo.phone.MainActivity,12,3
2023-05-23 15-20-27,com.divo.phone/com.divo.phone.MainActivity,8,3
2023-05-23 15-20-32,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-20-37,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-20-42,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-20-47,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-20-52,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-20-57,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-21-02,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-21-07,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-21-12,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-21-17,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-21-22,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-21-27,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-21-32,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-21-37,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-21-43,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-21-48,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-21-53,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-21-58,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-22-03,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-22-08,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-22-13,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-22-18,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-22-23,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-22-28,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-22-33,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-22-38,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-22-43,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-22-48,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-22-53,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-22-58,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-23-03,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-23-08,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-23-13,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-23-18,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-23-23,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-23-28,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-23-33,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-23-38,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-23-43,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-23-48,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-23-53,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-23-58,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-24-03,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-24-08,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-24-13,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-24-18,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-24-23,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-24-28,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-24-33,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-24-38,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-24-43,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-24-48,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-24-53,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-24-58,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-25-03,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
2023-05-23 15-25-08,com.jx.watchos.contact/com.jx.watchos.contact.MainActivity,0,0
