datatime,total_ram(MB),free_ram(MB),package,pid,pid_pss(MB)
2023-05-23 15-18-55,876.88,303.12,com.divo.phone,,
2023-05-23 15-19-50,876.88,300.72,com.divo.phone,11554,11.18
2023-05-23 15-20-40,876.88,283.42,com.divo.phone,11554,12.74
2023-05-23 15-21-30,876.88,296.28,com.divo.phone,11554,12.65
2023-05-23 15-22-21,876.88,297.9,com.divo.phone,11554,12.72
2023-05-23 15-23-11,876.88,297.13,com.divo.phone,11554,12.8
2023-05-23 15-24-01,876.88,300.1,com.divo.phone,11554,12.88
2023-05-23 15-24-51,876.88,429.62,com.divo.phone,11554,12.96
2023-05-23 15-25-56,876.88,427.71,com.divo.phone,11554,12.99
2023-05-23 15-26-46,876.88,427.74,com.divo.phone,11554,12.99
2023-05-23 15-27-36,876.88,428.02,com.divo.phone,11554,12.99
2023-05-23 15-28-27,876.88,436.89,com.divo.phone,11554,12.99
